2015/11/24,5980
2015/11/25,6040
2015/11/26,6051
2015/11/27,6056
2015/11/30,5963
2015/12/01,5931
2015/12/02,5946
2015/12/03,5827
2015/12/04,5882
2015/12/07,5878
2015/12/08,5660
2015/12/09,5596
2015/12/10,5525
2015/12/11,5511
2015/12/14,5378
2015/12/15,5338
2015/12/16,5397
2015/12/17,5363
2015/12/18,5307
2015/12/21,5276
2015/12/22,5255
2015/12/24,5366
2015/12/25,5342
2015/12/28,5357
2015/12/29,5274
2015/12/30,5381
2016/01/04,5330
2016/01/05,5239
2016/01/06,5179
2016/01/07,5016
2016/01/08,4938
2016/01/12,4760
2016/01/13,4753
2016/01/14,4705
2016/01/15,4748
2016/01/18,4584
2016/01/19,4606
2016/01/20,4557
2016/01/21,4499
2016/01/22,4604
2016/01/25,4810
2016/01/26,4636
2016/01/27,4742
2016/01/28,4831
2016/01/29,5034
2016/02/01,5083
2016/02/02,4925
2016/02/03,4769
2016/02/04,4865
2016/02/05,4787
2016/02/08,4735
2016/02/09,4601
2016/02/10,4448
2016/02/12,4362
2016/02/15,4494
2016/02/16,4546
2016/02/17,4500
2016/02/18,4613
2016/02/19,4552
2016/02/22,4506
2016/02/23,4585
2016/02/24,4467
2016/02/25,4539
2016/02/26,4597
2016/02/29,4614
2016/03/01,4617
2016/03/02,4701
2016/03/03,4723
2016/03/04,4725
2016/03/07,4848
2016/03/08,4942
2016/03/09,4825
2016/03/10,4987
2016/03/11,4948
2016/03/14,5015
2016/03/15,4960
2016/03/16,4890
2016/03/17,4981
2016/03/18,4972
2016/03/22,5002
2016/03/23,5025
2016/03/24,4910
2016/03/25,4931
2016/03/28,4936
2016/03/29,4925
2016/03/30,4865
2016/03/31,4827
2016/04/01,4820
2016/04/04,4687
2016/04/05,4591
2016/04/06,4564
2016/04/07,4622
2016/04/08,4577
2016/04/11,4692
2016/04/12,4728
2016/04/13,4874
2016/04/14,4893
2016/04/15,4887
2016/04/18,4771
2016/04/19,4816
2016/04/20,4924
2016/04/21,5055
2016/04/22,5018
2016/04/25,5080
2016/04/26,5033
2016/04/27,5129
2016/04/28,5219
2016/05/02,5031
2016/05/06,4894
2016/05/09,4930
2016/05/10,4859
2016/05/11,5015
2016/05/12,5089
2016/05/13,5132
